ID;Name;Branch ID;Template ID;MQTT Topic
1;Washer 01;8;1;WM_6001940ABE45
2;Washer 02;8;1;WM_BCDDC2ECECA8
3;Washer 03;8;1;WM_A4CF12DD2253
4;Washer 04;8;1;WM_2CF43227067C
5;Washer 05;8;1;WM_840D8EBBE5AC
6;Washer 06;8;1;WM_84F3EBD8DE0B
7;Washer 07;8;1;WM_483FDA750EC3
8;Dryer 01;8;2;DM_34AB95A8E691
9;Dryer 02;8;2;DM_EC94CBA01242
10;Dryer 03;8;2;DM_EC94CB9FE62E
11;Dryer 04;8;2;DM_EC94CB9F6795
12;Dryer 05;8;2;DM_EC94CBA013D3
13;Washer 01;1;1;WM_BCDDC27A6C1E
14;Washer 02;1;1;WM_24A1602CC3EB
15;Washer 03;1;1;WM_ECFABCC85622
16;Washer 04;1;1;WM_C82B9620EC63
17;Washer 05;1;1;WM_ECFABCC954BD
18;Dryer 01;1;2;DM_2CF432F8B9C3
19;Dryer 02;1;2;DM_2CF432F8BA3B
20;Dryer 03;1;2;DM_D48AFC325D47
21;Dryer 04;1;2;DM_2CF432F92F74
22;Dryer 05;1;2;DM_2CF432F9D77B
23;Washer 01;11;1;WM_ECFABCC9E899
24;Washer 02;11;1;WM_DC4F224EAE20
25;Washer 03;11;1;WM_E09806218AF2
26;Washer 04;11;1;WM_D8F15B01A6DB
27;Washer 05;11;1;WM_D8F15B01C6A4
28;Dryer 01;11;2;DM_2CF432F9FE01
29;Dryer 02;11;2;DM_D48AFC325D0B
30;Dryer 03;11;2;DM_D48AFC325D09
31;Dryer 04;11;2;DM_D48AFC35451B
32;Dryer 05;11;2;DM_2CF432F89BE7
